"","Temperature Change","Total Grains, Cereals and Root Production Quantity in 1000MT","Total Grains, Cereals and Root Food Supply in 1000MT","Total Grains, Cereals and Root Area Harvested in 1000Ha","Population in Millions","GDP in US dollars per person"
"410",-0.661,13818.2544,21798.8588,2562.824,59.004,886.0776631
"411",-0.037,14097.93826,22217.12208,2582.5,60.02,896.3465769
"412",0.506,13951.79435,23298.38915,2636.697,61.032,916.5067077
"413",0.039,15278.81717,24019.82395,2860.713,62.064,943.1079877
"414",0.259,15708.99897,25840.4542,2687.234,63.12,973.5917381
"415",-0.094,16845.21204,27089.94686,2830.645,64.2,1009.775415
"416",0.629,17106.01021,28173.57756,2743.99,65.309,1032.69474
"417",0.758,18078.4237,27838.98492,2797.835,66.457,1076.817241
"418",-0.007,18715.94703,29358.41325,2848.27,67.648,1114.6449
"419",0.644,18225.10277,30310.66571,2708.418,68.888,1133.276942
"420",0.759,18678.33187,30029.1052,2806.873,70.175,1138.864317
"421",0.655,19325.94582,30545.10958,2849.998,71.498,1153.487601
"422",0.571,19522.54811,32270.63864,2873.874,72.845,1178.486816
"423",0.44,21962.26706,34010.38399,3119.832,74.203,1208.653624
"424",0.654,21570.17524,33524.19502,3121.636,75.568,1268.045612
"425",0.508,20863.69098,32755.21612,3019.347,76.942,1333.67325
"426",0.832,22349.77428,37508.54244,3325.272,78.323,1403.916378
"427",0.841,21859.49079,37534.51981,3334.443,79.716,1444.023295
"428",2.249,19188.34293,35715.47194,3147.33,81.121,1492.044285
"429",0.565,21170.99723,39858.12625,3215.054,82.537,1492.29188
"430",0.863,21860.68322,35654.81223,3218.316,83.958,1499.500548
"431",0.512,716.2861316,865.0065092,429.924,4.656,2166.134855
"432",0.137,676.4746382,827.6395948,407.913,4.729,1909.810153
"433",0.456,568.591401,740.2216519,371.199,4.799,1763.280895
"434",0.793,601.6834219,838.1426903,366.847,4.866,1765.69616
"435",0.135,718.0541147,982.1319488,377.15,4.931,1765.716301
"436",0.227,681.7963752,910.1623426,387.385,4.996,1753.489298
"437",0.268,623.6983841,869.6288951,391.96,5.06,1734.589793
"438",0.537,640.0147821,830.8517078,417.895,5.124,1755.980203
"439",0.431,794.0301536,959.2319076,419.715,5.19,1766.198366
"440",0.26,789.8035318,1008.965827,413.866,5.259,1759.79645
"441",0.484,813.9270993,1029.786585,427.737,5.333,1819.223562
"442",0.568,717.5676324,1016.465002,448.742,5.413,1856.438192
"443",0.576,980.2082701,1243.145954,489.505,5.498,1965.609744
"444",0.348,896.0354242,1226.955878,460.295,5.584,2077.96222
"445",0.722,738.9642319,1293.246634,457.79,5.664,2172.561054
"446",0.714,900.5931123,1099.76356,444.003,5.733,2283.709846
"447",0.285,871.6061024,1122.955813,414.401,5.791,2299.397849
"448",0.98,771.1432836,1078.52805,450.44,5.839,2377.3331
"449",1.075,786.8161158,1284.315981,418.962,5.878,2450.088116
"450",0.524,860.877585,1483.707969,385.813,5.911,2520.443905
"451",0.275,783.3880034,1556.942549,366.34,5.94,2562.130218
"452",0.581,770.3434631,1412.691475,403.304,5.966,2594.558739
"453",0.847,825.3654621,1544.215008,334.022,5.988,2645.537176
"454",1.045,811.2328285,1591.376054,325.055,6.009,2696.927381
"455",0.804,848.7334398,1693.502304,335.604,6.029,2737.722907
"456",0.747,1004.336858,1834.869349,344.649,6.051,2824.954553
"457",0.695,821.0146234,1612.679583,339.21,6.074,2924.349799
"458",0.653,925.2938699,1726.730053,333.744,6.101,3023.19931
"459",0.447,1116.180455,1826.137147,362.39,6.13,3047.23725
"460",1.011,989.4393697,1781.269554,368.823,6.16,2937.390414
"461",0.63,924.2328343,1747.863019,348.413,6.193,2961.613651
"462",0.651,934.6142666,1644.244451,377.711,6.227,3010.738593
"463",0.753,1112.588565,1821.518749,399.854,6.264,3050.702767
"464",0.222,6693.981354,7420.281354,4530.983,53.502,121.9145283
"465",0.596,8288.147005,8861.347005,5904.133,55.281,121.7553495
"466",0.823,11018.29484,11431.29568,7053.84,57.042,125.226766
"467",0.812,10222.68521,10618.68605,8266.702,58.774,136.6385039
"468",0.751,11210.4074,11783.40824,8063.607,60.482,136.9412638
"469",0.81,8992.988498,9739.173514,6876.9,62.174,128.6077328
"470",0.385,10255.94355,11651.55692,8038.614,63.869,131.6577067
"471",0.6,9971.657232,10931.15931,7782.806,65.578,136.0136548
"472",0.742,11538.40483,12234.13141,8620.248,67.304,143.5271301
"473",1.126,10901.84982,12858.19122,7277.708,69.041,142.035468
"474",1.119,11633.66111,12583.88932,9161.124,70.784,135.5440389
"475",0.887,12972.65899,13788.98514,9418.483,72.527,150.2410008
"476",1.128,14914.72511,15665.75566,10097.7,74.264,164.0683601
"477",0.988,16163.65389,16961.59422,8870.747,75.993,177.7072151
"478",0.87,16953.55935,18710.08174,9381.484,77.718,193.6691949
"479",0.79,17503.77168,19064.05808,9872.662,79.446,209.8964153
"480",1.369,19659.71942,21703.55049,9582.087,81.188,223.4724731
"481",1.306,21762.37024,23117.60131,10090.929,82.95,240.461047
"482",1.158,22507.64464,23654.47571,10549.829,84.734,252.5801727
"483",1.089,23960.41213,24686.54321,10792.179,86.539,268.2482937
"484",0.861,57.94155089,104.5955834,54.9,0.63,433.1547305
"485",0.698,78.87901265,121.3665759,69.7,0.653,431.7802652
"486",0.445,84.11087891,118.8975822,77.8,0.678,412.6795784
"487",1.249,61.55597733,100.0152199,56.5,0.705,440.0676201
"488",0.694,79.48649544,141.0196661,62.3,0.735,437.0282004
"489",0.446,110.4406176,185.5302619,93.96,0.768,414.8523468
"490",0.66,95.99189279,155.3439822,81.97,0.805,411.9764287
"491",1.081,87.70660042,160.9235795,84.7,0.846,401.6319159
"492",0.916,92.23441729,206.6978103,85.71,0.887,400.2164464
"493",0.689,91.68948487,147.3881319,88.962,0.928,405.0876406
"494",1.232,84.397966,181.6422003,92.001,0.966,403.0019831
"495",0.925,107.107339,198.4011126,103.049,1.001,400.9946228
"496",0.931,92.38938415,178.7610068,81.246,1.034,401.3128891
"497",1.095,99.28525958,194.9470935,85.323,1.065,401.3675733
"498",0.766,91.57345764,185.4626105,85.945,1.095,390.9737247
"499",1.057,95.38158329,198.8251255,99.461,1.126,383.5626692
"500",1.265,105.4616905,221.9582548,98.137,1.158,381.2563639
"501",1.362,106.8098659,232.8404568,111.312,1.191,388.8565184
"502",1.529,108.741579,258.4583009,107.795,1.225,391.295992
"503",0.777,141.1165301,292.7305158,121.586,1.26,404.7739651
"504",1.001,165.7553222,348.8037134,138.4,1.297,414.8543036
"505",1.28,190.6321135,417.7136845,158.776,1.336,426.1031898
"506",1.502,132.5417077,319.011472,147.634,1.376,400.2706824
"507",1.156,205.2301109,401.9850104,173.598,1.418,415.0991022
"508",1.252,214.404579,393.7298058,193.866,1.46,431.5805267
"509",1.637,201.7904662,393.5321738,200.368,1.504,415.0093061
"510",1.365,201.5985056,385.1304147,212.531,1.547,408.0092656
"511",1.27,147.9032565,296.7391846,190.702,1.591,411.1307466
"512",1.531,229.3548599,409.0642548,243.442,1.636,422.7505062
"513",0.917,284.8424642,466.5801352,298.641,1.682,437.7093957
"514",1.539,285.312178,452.0498489,325.138,1.728,453.8631833
"515",1.277,177.7597739,374.4974449,213.55,1.776,422.629499
"516",1.145,206.5780363,420.8157072,218.225,1.825,432.9722551
"517",-1.139,547.6929386,1360.719659,270.4,5.346,975.8991405
"518",-1.158,462.9758745,1320.107117,248.897,5.254,702.0422126
"519",0.523,551.2813902,1255.309495,257.502,5.158,640.7372748
"520",0.808,596.7843684,1235.771342,256.352,5.069,668.938798
"521",0.254,711.9399852,1606.327421,276.254,4.992,755.3337603
"522",0.366,988.9972782,1760.516553,433.884,4.925,846.1441193
"523",1.344,683.5821135,1508.438727,402.421,4.864,883.3571593
"524",1.263,889.0499966,1683.781616,399.495,4.805,919.8607943
"525",0.992,493.9364316,1353.773557,340.588,4.746,948.416462
"526",1.331,818.7906612,1528.414024,386.195,4.685,1006.934211
"527",1.087,774.2503693,1610.632447,392.276,4.626,1075.597585
"528",-0.206,858.5736552,1659.529997,383.68,4.57,1209.17592
"529",0.961,782.259754,1756.115315,367.761,4.52,1294.160654
"530",0.59,808.9101012,1708.802605,377.978,4.477,1432.018611
"531",1.337,367.7629572,1353.420067,224.93,4.443,1578.375649
"532",0.925,474.4821105,1297.821204,219.222,4.416,1784.051979
"533",0.716,512.1499495,1081.854649,247.577,4.394,1834.474923
"534",0.718,435.2610269,1221.037814,214.684,4.374,1773.28067
"535",2.449,335.2090542,1032.855841,193.9,4.352,1893.689127
"536",0.447,569.2887235,1421.06551,204.04692,4.329,2036.12758
"537",1.265,573.3435351,1313.820322,196.62,4.304,2170.831801
"538",0.465,1734.412239,1978.175651,1419,10.923,407.5493516
"539",0.206,1835.255448,1982.915186,1303,11.246,381.9773127
"540",0.178,1720.384881,1874.709262,1308.6,11.625,343.9394792
"541",0.706,1543.517201,1755.130107,1301,12.04,316.9289603
"542",0.689,2466.539208,2659.300325,2145,12.462,332.6753944
"543",0.365,2288.620361,2425.526011,1818.954,12.872,338.4780222
"544",0.304,2502.164895,2647.353989,1652.9,13.262,345.6047911
"545",0.971,2704.364,2927.805,1916.91,13.639,352.1651619
"546",0.683,2912.727909,3169.487318,1799.41,14.011,362.1091859
"547",0.268,3130.974713,3374.887042,2038.61,14.393,370.4261895
"548",0.544,2317.659122,2665.013386,1436.806,14.793,372.407325
"549",0.417,4619.047636,5018.799798,2141.308,15.216,381.1776091
"550",0.157,4296.117269,4770.08632,2175.405,15.656,384.836788
"551",0.465,4959.952637,5322.656046,2139.009,16.106,392.227585
"552",0.534,4542.4638,4901.660326,2054.108,16.555,394.1821601
"553",0.709,5149.437232,5470.472039,2258.91,16.997,399.7204915
"554",0.677,5426.078074,5813.113784,2322.432,17.429,407.7538961
"555",0.489,5374.86323,5754.04244,2294.543,17.855,414.7279199
"556",1.153,5666.006024,6149.005771,2465.422,18.281,424.1031343
"557",0.598,5985.049061,6462.111264,2493.954,18.716,432.47288
"558",0.435,6043.598293,6743.90649,2542.886,19.165,437.9674632
"559",0.559,6244.424172,7070.516832,2720.762,19.632,444.6511965
"560",0.823,7148.438322,7840.981715,3051.726,20.114,453.5256509
"561",0.99,7180.111596,7964.758081,2946.426,20.611,465.6042948
"562",0.729,6739.906323,7707.566124,2774.784,21.12,479.828506
"563",0.963,6878.29048,7732.843283,2796.553,21.64,495.9280564
"564",0.975,6870.357752,7739.46499,2881.91,22.171,515.0297083
"565",0.94,6902.59481,7641.189518,2700.569,22.712,535.2387732
"566",0.696,8076.157354,8899.141361,2948.632,23.264,566.5914723
"567",0.845,8856.188517,9648.554435,3134.479,23.824,575.3558942
"568",1.254,9542.006057,10462.37198,3140.827,24.392,606.9541512
"569",0.856,9599.666334,10631.83225,3213.92,24.966,681.9913661
"570",0.584,10068.57316,11015.73908,3200.225,25.546,719.2589007
"571",0.569,1076.290094,1284.240521,760.44,7.036,2040.490745
"572",0.092,1174.122893,1399.785965,784.85,7.212,2003.572058
"573",0.561,1270.278045,1394.974161,762.94,7.393,1885.523095
"574",0.759,1241.20777,1418.50476,677.018,7.579,1791.942356
"575",0.217,1148.388397,1352.165568,727.06,7.766,1757.479822
"576",0.298,1285.504502,1428.328518,785.56,7.955,1705.26991
"577",0.202,1399.45527,1601.666426,798.99,8.143,1668.28287
"578",0.32,1376.220902,1589.787152,870.15,8.333,1688.020091
"579",0.484,1385.418874,1579.917911,746.23,8.525,1714.226998
"580",0.218,1443.647172,1619.938043,707.956,8.721,1741.766622
"581",0.401,1465.531751,1814.952119,731.698,8.923,1755.152349
"582",0.706,1406.722234,1762.412855,775.775,9.131,1777.915996
"583",0.533,1553.560921,1920.021086,836.37,9.345,1821.253524
"584",0.466,1477.808846,1971.772772,811.5,9.565,1849.241703
"585",0.733,1331.223043,1893.984029,697.988,9.788,1880.004593
"586",0.766,1202.868003,1687.54278,623.097,10.016,1928.124119
"587",0.265,1184.057494,1756.503958,652.834,10.246,1940.591483
"588",0.881,1005.726205,1891.206272,654.036,10.482,1979.681878
"589",1.066,1196.955875,1964.199086,707.664,10.723,2031.822593
"590",0.745,1154.885208,1896.781514,671.26,10.974,2061.727912
"591",0.496,1192.540767,2208.083448,673.14,11.237,2086.13715
"592",0.519,1229.902768,2392.644614,671.27,11.513,2083.619943
"593",0.794,1201.87203,2330.673606,684.828,11.8,2111.548586
"594",0.964,1201.598701,2295.00744,724.735,12.099,2111.485562
"595",0.666,1230.339345,2457.08373,765.527,12.405,2124.313483
"596",0.813,1216.374445,2625.126157,865.759,12.717,2139.752329
"597",0.587,1343.793428,2801.541933,873.551,13.035,2199.855939
"598",0.747,1602.470337,2910.293067,646.309,13.359,2281.81919
"599",0.442,1714.699974,2895.115612,750.293,13.691,2299.539334
"600",1.045,1832.700888,3034.734622,918.596,14.034,2255.137911
"601",0.716,1784.319221,3079.852955,888.876,14.389,2262.614241
"602",0.701,1826.916831,3153.450565,909.69,14.757,2299.725575
"603",0.517,1847.07521,3153.708944,911.6,15.138,2308.198789
"604",0.636,768.8665525,940.2585525,595.855,4.407,70.6418595
"605",0.342,789.9522249,920.3342249,609.135,4.477,82.17055675
"606",0.231,796.7395026,890.7235026,622.9,4.57,83.87937488
"607",0.675,823.7554544,935.5004544,641.365,4.68,79.12438691
"608",0.371,890.7922662,1052.487266,684.02,4.799,84.19124352
"609",0.388,916.4968548,1056.668855,693.675,4.924,85.47274904
"610",0.076,952.9131236,1103.83214,717.01,5.046,82.74410763
"611",0.781,967.31373,1140.787286,728.595,5.17,83.10155577
"612",0.585,1008.921762,1296.164877,758.582,5.315,84.55282321
"613",0.11,1030.299739,1314.5674,799.085,5.506,86.59853776
"614",0.655,783.9613431,1067.78357,845.707,5.759,87.84460035
"615",0.691,778.1898272,1167.806869,896.142,6.084,87.3928013
"616",0.343,771.9365413,1119.856498,946.474,6.466,83.13431472
"617",0.703,803.5607548,1194.359413,998.766,6.872,79.86538926
"618",0.464,828.5935134,1236.669033,1033.742,7.25,78.12381704
"619",0.482,908.9403624,1233.707093,1072.8,7.565,78.16512508
"620",0.794,952.2651371,1261.863041,1123.526,7.806,84.5390975
"621",0.71,1189.546836,1465.50512,1178.731,7.982,88.04892104
"622",1.125,1554.823284,1882.249811,1235.825,8.113,62.28497561
"623",0.487,1632.249801,1955.590751,1296.753,8.226,62.05935234
"624",0.633,1774.58366,2238.476357,1388.496,8.344,63.40973381
"625",0.788,1726.846868,2225.715118,1339.506,8.472,66.96376195
"626",1.152,1835.027991,2334.076587,1420.354,8.605,67.24691078
"627",1.054,1897.434348,2419.019678,1520.762,8.744,62.90982053
"628",1.12,1988.667724,2481.14761,1622.137,8.889,61.42098497
"629",1.246,2104.240818,2656.336605,1723.891,9.041,63.36174688
"630",1.173,2225.672851,2724.745175,1825.665,9.202,61.01939962
"631",1.07,2284.302556,2771.865675,1921.114,9.374,63.51701866
"632",1.218,2437.204775,3005.905357,2104.665,9.559,68.80377014
"633",1.056,2580.065461,3056.26345,2072.883,9.761,68.13399895
"634",1.45,2720.237984,3267.435973,2163.015,9.982,67.77041633
"635",1.145,2894.210313,3431.408303,2182.397,10.222,69.33961772
"636",0.668,3060.652773,3537.850762,2334.332,10.481,63.08679563
"637",0.521,144.8721357,166.4897126,127,0.939,1538.027095
"638",0.859,139.6434832,199.3754825,110,0.958,1557.270777
"639",0.751,141.2032241,196.1467221,95.401,0.977,1623.310149
"640",0.522,133.4634891,186.8686478,107.476,0.997,1654.431399
"641",1.064,145.3801094,215.2366828,119.338,1.017,1692.02767
"642",0.873,158.5256526,244.6191534,120.554,1.037,1702.761541
"643",0.765,148.5015728,225.2915624,126.847,1.059,1721.927213
"644",0.937,168.3114879,208.8230506,136.134,1.081,1771.972201
"645",0.7,158.2277563,227.6063378,146.422,1.103,1805.575046
"646",0.963,178.6917495,265.3343527,153.317,1.125,1851.834096
"647",1.09,166.6090876,254.1398016,138.659,1.148,1895.698561
"648",1.151,167.9019634,212.228284,137.84,1.171,1954.762777
"649",1.509,131.0245113,206.6305579,134.371,1.194,1986.969965
"650",0.765,150.7775564,237.7506608,155.785,1.217,2023.730262
"651",1.022,165.4133569,249.6438351,174.954,1.241,2034.268413
"652",1.212,164.9492121,249.9643204,173.774,1.265,2068.682251
"653",1.403,155.0904297,256.6050239,155.31,1.29,2133.360339
"654",1.111,132.16434,250.9847144,144.041,1.315,2118.932912
"655",1.252,176.2671528,296.5830305,148.1,1.341,2126.474074
"656",1.587,216.3816759,329.1958028,152.851,1.368,2146.982463
"657",1.349,225.3678668,332.8941845,150.02,1.395,2157.994785
"658",1.266,178.6341971,305.4525097,153.353,1.424,2151.205086
"659",1.603,186.8487035,281.9891894,162.992,1.454,2210.832114
"660",1.178,208.5961883,353.9127757,155.514,1.484,2160.069389
"661",1.666,246.0265415,395.2431289,179.027,1.515,2156.837792
"662",1.478,213.9646656,368.481253,180.614,1.547,2194.784942
"663",1.242,237.8201979,392.3367853,188.92,1.58,2233.701341
"664",1.256,559.8510949,1246.99904,625.127,8.342,494.1010886
"665",1.151,576.0265334,1156.081642,681.9,8.495,498.2856182
"666",0.899,583.6900093,1099.713292,654.737,8.645,493.9253529
"667",0.711,529.0465967,1075.065437,627.968,8.792,480.6030096
"668",0.966,536.5612314,1045.563062,598.294,8.935,471.6745554
"669",1.204,559.6928296,1101.709615,611.699,9.075,466.0811539
"670",0.858,554.9537289,1176.994321,626.485,9.213,442.9792784
"671",1.045,594.3380607,1251.432995,643.172,9.347,444.4516778
"672",0.954,603.6577869,1140.827148,618.262,9.479,448.1364765
"673",1.133,722.7506077,1306.859829,785.034,9.608,456.9009503
"674",0.696,627.0974737,1331.880835,680.165,9.736,454.6993302
"675",0.807,787.8816831,1451.263052,830.95,9.864,461.7140106
"676",1.208,923.2162942,1673.897664,933.16,9.993,431.0700486
"677",0.566,907.4774183,1589.258788,923.097,10.124,449.2786706
"678",0.835,689.7610901,1401.142459,797.147,10.256,456.0127281
"679",0.541,468.7305911,608.6920518,423.375,3.628,1209.724627
"680",0.203,568.3902378,652.7974574,421.121,3.742,1202.581554
"681",0.557,443.2491398,532.3141541,349.967,3.859,1149.897539
"682",0.692,540.8210742,624.3213728,384.703,3.978,1105.187754
"683",0.168,592.3188835,699.8656446,451.775,4.1,1118.900598
"684",0.226,492.5129784,605.0246538,353.106,4.226,1131.005055
"685",0.201,544.5774549,682.7411314,406.382,4.354,1105.688704
"686",0.406,598.2146664,732.9719578,394.799,4.485,1138.133758
"687",0.553,522.0894878,678.0928882,411.267,4.618,1156.310354
"688",0.269,609.9641839,765.5569901,437.35,4.753,1172.067091
"689",0.332,688.0162437,943.2092124,468.151,4.889,1140.566973
"690",0.568,698.9133524,927.0208907,528.597,5.027,1145.329795
"691",0.562,695.0079338,870.8365604,519.378,5.165,1177.424164
"692",0.299,698.0692912,1027.935663,523.407,5.304,1217.99938
"693",0.845,669.9862752,1236.175783,517.376,5.441,1171.857159
"694",0.987,782.5789178,1022.415782,502.685,5.575,1190.158422
"695",0.211,790.3136211,1097.810234,499.574,5.707,1204.43014
"696",0.968,751.0583738,1157.795999,485.23,5.836,1236.623575
"697",1.226,583.3899891,1010.992658,544.704,5.963,1245.403442
"698",0.569,564.9425133,1054.081459,485.35,6.09,1196.390382
"699",0.268,615.4908587,1178.573359,447.745,6.218,1239.116838
"700",0.52,458.6739962,919.6357332,421.272,6.347,1246.990364
"701",0.91,593.0464151,1036.493132,436.335,6.478,1267.642996
"702",0.81,600.2004124,1142.791328,395.416,6.609,1299.014139
"703",0.614,510.1392141,1146.496429,387.162,6.743,1352.549427
"704",1.088,542.3050603,1204.382865,376.508,6.879,1406.032212
"705",0.682,572.0851282,1226.030038,398.667,7.018,1468.690524
"706",0.817,743.7317447,1366.020923,455.413,7.159,1528.859107
"707",0.55,628.9022368,1338.827626,398.206,7.303,1562.136685
"708",0.746,666.8964516,1391.385768,412.944,7.45,1494.073691
"709",0.722,581.8762534,1362.76557,546.209,7.601,1519.030308
"710",0.64,673.7592786,1437.748595,566.15,7.755,1545.974396
"711",0.587,652.1701654,1401.359482,569.229,7.912,1573.835239
"712",0.384,117346.5883,117771.2152,105311.3,700.059,291.3605059
"713",0.04,124846.6542,125543.0682,106769.6,716.493,301.7759706
"714",-0.067,116406.4905,118094.5712,102394.196,733.152,305.1694789
"715",-0.206,140646.1092,144060.3835,107866.508,750.034,320.0434421
"716",-0.167,139763.6478,141632.3109,106505,767.147,324.8593744
"717",0.137,138222.5757,138427.5657,105403.096,784.491,334.3688976
"718",0.12,138514.4288,138704.0565,105342.912,802.052,342.6695117
"719",0.509,131935.857,131966.7112,99848.704,819.8,348.5448913
"720",0.436,153028.213,155740.8518,104858.316,837.7,373.9372684
"721",-0.083,167292.9852,168108.5062,105395.1,855.707,387.8396917
"722",-0.146,161242.8088,161556.9116,103875.212,873.785,400.8324814
"723",0.114,160638.3954,160993.2198,101578.908,891.91,396.8369803
"724",-0.045,170824.2276,174243.9958,101022.004,910.065,410.242588
"725",0.134,173964.2611,174421.1356,101682.8,928.226,421.3244635
"726",0.009,176477.9254,176737.8638,101621,946.373,440.763134
"727",0.133,176946.8204,177203.6997,100896.5,964.486,465.2442121
"728",0.233,183498.7185,185508.4953,101778.2,982.553,491.1672559
"729",-0.169,188700.6237,191185.6715,101802,1000.56,501.8611675
"730",0.493,188900.491,190619.7872,102498,1018.47,523.5272242
"731",0.381,197732.7815,199875.133,103749.7,1036.26,560.0544795
"732",0.274,199409.4785,199679.7402,104080.8,1053.9,571.8319672
"733",0.398,202855.1415,203085.1653,101849.9,1071.37,589.6427209
"734",0.735,177575.5501,177807.0777,96101.2,1088.69,602.3351044
"735",0.583,198423.7997,198637.6491,100279.2,1105.89,639.5763992
"736",0.475,196343.3557,196605.6726,99643.5,1122.99,679.7387449
"737",0.479,202502.1968,203167.176,101421.1,1140.04,731.7418806
"738",0.578,204681.2234,211406.7614,101173.4,1157.04,787.7829621
"739",0.513,221604.4563,223478.1654,102954.5,1173.97,852.5221641
"740",0.167,226841.3219,226958.4345,103344.5,1190.86,873.1316212
"741",1.035,213324.1585,213631.4118,99404.4,1207.74,933.933139
"742",1.017,229939.2167,230254.437,102261.9,1224.614,1015.565312
"743",0.235,245635.5895,245750.5598,102713.5,1241.492,1068.259162
"744",0.364,253354.5296,253474.2499,99236.4,1258.351,1103.864829
"745",0.213,28617.79286,32163.11912,13532.984,150.82,536.296914
"746",0.154,31093.59224,33072.0907,14077.597,154.275,567.0063709
"747",-0.065,30051.47273,31997.97778,12655.679,157.758,560.6098918
"748",0.382,33089.27543,36115.38334,13739.982,161.246,594.8293444
"749",-0.17,35850.07181,37777.56501,14560.158,164.707,624.0957563
"750",0.091,35397.96359,36894.82785,13985.54,168.119,632.6923434
"751",0.047,37310.34124,39077.57064,14656.33,171.472,657.319663
"752",0.456,37016.40095,39068.02815,14095.867,174.767,679.1079117
"753",0.348,39970.38075,42059.9575,15197.292,178.007,709.123412
"754",0.053,42083.83151,44230.54888,15226.693,181.198,759.9226758
"755",0.142,43128.58116,45197.70354,15284.505,184.346,814.1826646
"756",0.221,42377.87297,45515.12328,14823.366,187.452,872.1761536
"757",0.304,46775.00754,49663.22862,16424.451,190.512,920.1312594
"758",0.188,45423.37866,49076.02675,15692.779,193.526,971.5084996
"759",0.25,43361.11918,51525.00534,15519.007,196.488,1029.011419
"760",0.318,46848.21387,53752.29323,16772.148,199.4,1099.121651
"761",0.356,48737.10696,54780.76209,17044.195,202.257,1166.412826
"762",0.402,45444.71159,56578.02009,16045.855,205.063,1204.521882
"763",0.988,46603.64862,54117.62339,17096.879,207.839,1032.431285
"764",0.244,47126.68103,53406.31867,17069.573,210.611,1026.903097
"765",0.229,48307.09106,55772.7361,16907.659,213.395,1063.371028
"766",0.495,47235.47485,55734.94943,16404.471,216.203,1087.800558
"767",0.567,48236.73117,56000.55063,16223.137,219.026,1122.094494
"768",0.571,50474.13911,57583.21399,16405.286,221.839,1160.826004
"769",0.517,52305.94153,58759.92474,16847.659,224.607,1204.200267
"770",0.669,53606.25219,59534.71629,16980.8,227.303,1257.654365
"771",0.386,53052.41878,63078.57178,16657.688,229.919,1311.740676
"772",0.443,56427.40062,62743.82091,17281.049,232.462,1379.710737
"773",0.263,62058.28801,67315.28369,17805.143,234.951,1447.18722
"774",0.575,66117.1111,73988.73354,18537.013,237.414,1498.467207
"775",0.752,68660.14607,80936.24851,18877.577,239.871,1575.425498
"776",0.308,67583.2733,78073.67574,18542.062,242.326,1660.680447
"777",0.446,71490.97547,81702.47791,18829.952,244.769,1746.475434
"778",1.053,44.514396,755.0220066,12.274,2.682,4129.67132
"779",0.576,2597.063147,2983.801502,1957.25,16.268,537.2645422
"780",0.194,2587.46991,2736.656884,1571.03,16.9,536.6884983
"781",0.309,3353.361861,3628.311215,1707.439,17.557,524.3876366
"782",0.629,3170.877761,3331.761463,1812.035,18.238,511.4153811
"783",0.206,1946.939997,2503.633498,1445.163,18.938,501.1567329
"784",-0.009,3397.848978,3677.278616,1964.513,19.655,503.6412362
"785",0.177,3809.485124,3988.236144,1979.693,20.388,520.3835404
"786",0.763,3292.40956,3549.399114,2006.706,21.134,531.8198998
"787",0.68,3741.692073,3827.272073,2058.731,21.894,545.2035935
"788",-0.107,3613.229013,3766.792013,2010.22,22.665,551.3593537
"789",0.047,3204.853915,3636.642309,1953.888,23.447,555.3129145
"790",0.34,3299.588489,3762.161721,1884.78,24.24,544.8721422
"791",0.491,3265.549401,3963.655619,1963.87,25.042,523.2052534
"792",0.153,2953.302089,4568.738399,1880.197,25.846,508.720198
"793",0.566,4098.543649,4517.668275,2055.769,26.643,506.4951698
"794",0.461,3732.515284,4141.941705,2021.809,27.426,513.7150855
"795",0.498,3280.82312,4999.417236,2105.064,28.192,520.4811414
"796",0.565,3255.418492,4965.225499,2144.437,28.945,509.3483716
"797",0.332,3443.38369,4191.002659,2040.616,29.696,512.8019848
"798",0.339,3447.41441,4955.684006,2198.429,30.462,511.4318227
"799",0.621,3134.224514,4983.979746,2117.105,31.254,501.4610656
"800",0.686,3834.96339,5052.894952,2324.28,32.076,507.0793177
"801",0.809,3614.966188,4569.795206,2305.517,32.928,496.6600861
"802",0.968,3971.562853,5245.154962,2345.234,33.805,497.961871
"803",0.75,3871.109573,5533.88159,2021.951,34.702,509.8506861
"804",0.844,4577.131142,5986.579721,2375.602,35.615,526.1236951
"805",0.859,5065.346643,6367.302769,2659.034,36.541,545.2538999
"806",0.574,4607.219421,5832.081636,2265.307,37.485,568.6934367
"807",0.81,4283.927554,6970.22695,2277.083,38.455,562.8131682
"808",1.348,4169.480235,6676.991138,2604.513,39.462,563.4528872
"809",1.177,5547.995497,7301.1064,2811.27,40.513,580.4750541
"810",1.145,5228.855693,7332.866597,2928.617,41.61,589.9030235
"811",1.04,6771.303777,8767.01468,2983.941,42.749,600.5870312
"812",0.068,1599.801085,1985.05252,605.2,4.476,543.7795382
"813",-0.092,1579.080496,1788.106988,652.8,4.507,456.5528884
"814",0.285,1066.668792,1273.839085,619.6,4.543,361.9623145
"815",0.454,1087.035788,1334.560973,603.4,4.592,338.6772104
"816",-0.417,1547.788349,1723.843178,663.338,4.659,357.4553207
"817",1.429,1881.997683,2027.244296,734.84,4.739,386.265035
"818",0.822,1786.172152,1927.924689,703.891,4.824,387.5104493
"819",1.082,1838.035464,2142.108912,715.348,4.899,395.5276426
"820",1.093,1788.480496,1929.60012,649.703,4.955,412.2789166
"821",1.442,2064.098582,2352.850367,699.804,4.988,431.345949
"822",1.406,1997.950029,2130.968405,694.676,5.003,429.9780599
"823",0.427,1934.359233,2008.688133,672.095,5.008,459.7473188
"824",1.498,2024.398035,2221.492093,679.288,5.018,491.0725416
"825",1.151,1884.812339,2049.86313,681.447,5.042,487.8770631
